Country Name,Country Code,Population 2010,Population 2020
Aruba,ABW,101838,108587
Afghanistan,AFG,28284089,39068979
Angola,AGO,23294825,33451132
Albania,ALB,2913021,2528480
Andorra,AND,80706,77380
United Arab Emirates,ARE,6869838,9401038
Argentina,ARG,41288694,45191965
Armenia,ARM,3044800,2961500
American Samoa,ASM,55228,49761
Antigua and Barbuda,ATG,85320,91846
Australia,AUS,22031750,25649248
Austria,AUT,8363404,8916864
Azerbaijan,AZE,9054332,10093121
Burundi,BDI,9376444,12617036
Belgium,BEL,10895586,11538604
Benin,BEN,9797484,13070169
Burkina Faso,BFA,16176498,21478690
Bangladesh,BGD,152201981,166298024
Bulgaria,BGR,7395599,6550696
Bahrain,BHR,1228543,1472204
"Bahamas, The",BHS,367478,395863
Bosnia and Herzegovina,BIH,3811472,3299349
Belarus,BLR,9483836,9379952
Belize,BLZ,320245,390812
Bermuda,BMU,63725,64382
Bolivia,BOL,10182345,11816299
Brazil,BRA,193701929,208660842
Barbados,BRB,275243,281698
Brunei Darussalam,BRN,392332,447404
Bhutan,BTN,701632,770006
Botswana,BWA,2033111,2365894
Central African Republic,CAF,4492995,5026628
Canada,CAN,34005902,38028638
Switzerland,CHE,7824909,8638167
Channel Islands,CHI,158621,166235
Chile,CHL,17181464,19370624
China,CHN,1337705000,1411100000
Cote d'Ivoire,CIV,22488065,28915449
Cameroon,CMR,19668066,26210558
"Congo, Dem. Rep.",COD,68563038,95989998
"Congo, Rep.",COG,4462290,5752791
Colombia,COL,44777319,50629997
Comoros,COM,654836,802163
Cabo Verde,CPV,509784,514679
Costa Rica,CRI,4555962,5034320
Cuba,CUB,11297409,11176354
Curacao,CUW,148703,155482
Cayman Islands,CYM,54099,68684
Cyprus,CYP,1127816,1302247
Czechia,CZE,10474410,10697858
Germany,DEU,81776930,83160871
Djibouti,DJI,930251,1105188
Dominica,DMA,68859,67573
Denmark,DNK,5547683,5831404
Dominican Republic,DOM,9820175,11008300
Algeria,DZA,36188236,44042091
Ecuador,ECU,15076695,17546065
"Egypt, Arab Rep.",EGY,89196072,109315124
Eritrea,ERI,2945186,3291271
Spain,ESP,46576897,47359424
Estonia,EST,1331475,1329522
Ethiopia,ETH,90538514,118917671
Finland,FIN,5363352,5529543
Fiji,FJI,910419,914963
France,FRA,65026211,67601110
Faroe Islands,FRO,48657,52565
"Micronesia, Fed. Sts.",FSM,107540,110916
Gabon,GAB,1719879,2322539
United Kingdom,GBR,62766365,66744000
Georgia,GEO,3786695,3722716
Ghana,GHA,25474995,31887809
Gibraltar,GIB,31248,36173
Guinea,GIN,10396086,13371183
"Gambia, The",GMB,1926630,2515733
Guinea-Bissau,GNB,1566347,2013255
Equatorial Guinea,GNQ,1189085,1716468
Greece,GRC,11121341,10698599
Grenada,GRD,111586,116341
Greenland,GRL,56534,56367
Guatemala,GTM,14500112,17357325
Guam,GUM,166522,162158
Guyana,GUY,749256,807481
"Hong Kong SAR, China",HKG,7024200,7481000
Honduras,HND,8365878,10119640
Croatia,HRV,4295427,3914206
Haiti,HTI,9803294,11243848
Hungary,HUN,10000023,9670419
Indonesia,IDN,246305322,274814866
Isle of Man,IMN,83873,84064
India,IND,1243481564,1402617695
Ireland,IRL,4560155,5039747
"Iran, Islamic Rep.",IRN,77420842,87723443
Iraq,IRQ,31045366,42116605
Iceland,ISL,318041,366463
Israel,ISR,7623600,9215100
Italy,ITA,59819407,59438851
Jamaica,JAM,2748568,2830739
Jordan,JOR,7297043,10865228
Japan,JPN,128070000,126261000
Kazakhstan,KAZ,16836810,19482117
Kenya,KEN,41598567,52217334
Kyrgyz Republic,KGZ,5467059,6726596
Cambodia,KHM,14500726,16725474
Kiribati,KIR,108704,126099
St. Kitts and Nevis,KNA,46846,46870
"Korea, Rep.",KOR,49554112,51836239
Kuwait,KWT,2943372,4400267
Lao PDR,LAO,6334194,7346533
Lebanon,LBN,5041288,5702398
Liberia,LBR,4058890,5149463
Libya,LBY,6497839,7045399
St. Lucia,LCA,170906,178250
Liechtenstein,LIE,36022,38901
Sri Lanka,LKA,20879089,21919000
Lesotho,LSO,1996251,2235727
Lithuania,LTU,3097282,2810369
Luxembourg,LUX,506953,630419
Latvia,LVA,2097555,1900449
"Macao SAR, China",MAC,537000,685400
St. Martin (French part),MAF,36856,31786
Morocco,MAR,32467016,36584208
Monaco,MCO,33163,38050
Moldova,MDA,2862354,2635130
Madagascar,MDG,22183340,28953556
Maldives,MDV,360792,502118
Mexico,MEX,113623895,126799054
Marshall Islands,MHL,52044,42706
North Macedonia,MKD,1946298,1856124
Mali,MLI,15945198,21713836
Malta,MLT,414508,515490
Myanmar,MMR,49024382,53016522
Montenegro,MNE,619428,626590
Mongolia,MNG,2738622,3327204
Northern Mariana Islands,MNP,54091,47528
Mozambique,MOZ,22999235,30783688
Mauritania,MRT,3390965,4600131
Mauritius,MUS,1250400,1266014
Malawi,MWI,14826463,19533888
Malaysia,MYS,28655776,33889558
Namibia,NAM,2109811,2728762
New Caledonia,NCL,261582,284176
Niger,NER,16548835,23717613
Nigeria,NGA,166642886,213996181
Nicaragua,NIC,5737450,6565267
Netherlands,NLD,16615394,17441500
Norway,NOR,4889252,5379475
Nepal,NPL,27341952,28966574
Nauru,NRU,10043,11643
New Zealand,NZL,4350700,5072400
Oman,OMN,2757446,4522497
Pakistan,PAK,199239047,235001746
Panama,PAN,3628535,4293261
Peru,PER,29086019,32838579
Philippines,PHL,96337125,112081264
Palau,PLW,18396,17792
