item_name,item_sale_price,item_wholesale_price,item_quantity
Honey Crisp Apple,10.84,9.77,36.0
Sharp Cheddar Cheese,,13.30,25.0
Cavendish Banana,,4.00,14.0
,15.02,10.31,12.0
Sourdough Bread,10.08,9.06,12.0
Large Brown Eggs,4.78,3.67,4.0
Frosted Flakes Cereal,11.98,8.64,90.0
Boneless Chicken Breast,9.98,8.4,76.0
Baby Spinach Bag,6.56,4.53,98.0
Greek Vanilla Yogurt,16.8,12.18,44.0
Dark Roast Coffee,5.37,4.53,98.0
Penne Pasta,6.12,5.38,13.0
Marinara Tomato Sauce,7.07,5.71,34.0
Basmati Rice,16.98,12.2,69.0
Black Beans,3.39,2.31,11.0
Salted Butter,12.17,8.5,80.0
Pulp Free Orange Juice,11.99,10.72,30.0
Fresh Broccoli,17.5,11.71,30.0
Russet Potato,16.35,13.06,59.0
Yellow Onion,12.11,9.72,48.0
Red Bell Pepper,7.73,5.65,90.0
Whole Wheat Flour,19.14,14.08,78.0
Granulated Sugar,12.76,9.71,32.0
Extra Virgin Olive Oil,3.59,2.87,82.0
Sea Salt,12.45,10.48,42.0
Black Pepper Grinder,17.94,12.72,30.0
Ground Beef 80/20,17.66,12.42,52.0
Frozen Peas,5.19,4.38,73.0
Natural Peanut Butter,16.19,13.21,84.0
Strawberry Jam,11.25,7.74,83.0
Quinoa,8.62,7.15,32.0
Almond Milk,14.87,11.3,96.0
Avocado,13.1,8.98,52.0
Garlic Bulb,8.62,5.75,18.0
Fresh Ginger,8.97,7.89,7.0
Lemon,15.08,12.99,21.0
Lime,15.21,11.99,9.0
Cucumber,8.14,6.08,60.0
Zucchini,12.16,8.17,2.0
Carrots 1lb Bag,11.87,10.36,69.0
Frozen Pizza,16.03,11.39,44.0
Ice Cream Vanilla,2.7,2.12,59.0
Chocolate Bar,0.76,0.55,
Potato Chips,5.62,4.32,23.0
Pretzels,8.98,7.86,81.0
Sparkling Water,6.55,4.83,78.0
Green Tea Bags,4.22,3.38,21.0
Apple Juice,11.74,8.32,68.0
Toilet Paper,18.51,13.82,63.0
Paper Towels,1.15,0.78,40.0
Dish Soap,4.75,3.97,73.0
Laundry Detergent,16.14,14.23,63.0
Trash Bags,18.39,12.33,69.0
Aluminum Foil,13.36,11.6,61.0
Plastic Wrap,16.59,14.23,68.0
Canned Corn,16.69,13.15,28.0
Canned Tuna,19.59,13.97,89.0
Mayonnaise,4.19,3.42,86.0
Yellow Mustard,12.65,9.92,67.0
Ketchup,8.45,7.05,9.0
Soy Sauce,7.21,5.4,30.0
Salsa Medium,9.96,9.03,91.0
Tortilla Chips,11.5,9.65,5.0
Flour Tortillas,14.62,12.96,31.0
Hummus,5.88,4.54,70.0
Pita Bread,3.57,2.42,74.0
Feta Cheese,10.61,8.86,61.0
Walnuts,14.36,12.21,13.0
Almonds,12.49,10.06,53.0
Dried Cranberries,10.12,7.27,87.0
Old Fashioned Oats,13.56,9.98,8.0
Maple Syrup,7.83,6.34,14.0
Honey,4.83,4.11,58.0
Cinnamon Ground,2.97,2.53,60.0
Vanilla Extract,6.05,4.12,57.0
Baking Powder,17.63,12.22,13.0
Baking Soda,1.84,1.23,2.0
Coconut Milk,21.4,14.55,31.0
,3.77,2.91,28.0
Lentils,19.05,13.04,22.0
Tofu Firm,8.96,6.0,34.0
Soy Milk,19.7,13.93,37.0
Blueberries,9.83,6.63,72.0
Raspberries,13.08,10.1,25.0
Strawberries,7.14,4.8,75.0
Bacon,12.56,11.17,41.0
Pork Chops,1.77,1.33,65.0
Salmon Fillet,18.15,13.83,8.0
Shrimp Frozen,16.34,14.43,24.0
Tilapia Fillet,1.68,1.49,31.0
Mushrooms White,9.38,6.35,73.0
Asparagus,5.44,,80.0
Sweet Potato,2.3,1.69,73.0
Celery Stalks,11.91,8.08,27.0
Kale,12.51,10.21,34.0
Bagels Plain,8.54,6.24,39.0
Cream Cheese,10.49,7.13,10.0
Sour Cream,0.86,0.64,73.0
Cottage Cheese,16.87,14.94,28.0
Grapefruit,9.04,7.84,45.0
